SNR,TS=30,TS=60,TS=90,TS=120,TS=150
10.0,1.0713444200131104,1.262293551337278,1.343380188451508,1.294723726665053,1.3721277779437429
11.0,1.2002674829813866,1.381810179056258,1.4743122615347495,1.4534270432836596,1.531102659243956
12.0,1.256560960979896,1.511957344847,1.5803070032696303,1.6538619076350067,1.7035784003473142
13.0,1.337675198893548,1.647942620619674,1.7316684361592363,1.8222901656793724,1.847005734095424
14.0,1.352252449531505,1.7507798984126437,1.7924852157560807,1.8935527450108234,1.847005734095424
15.0,1.4287220664417213,1.8810886908484237,1.9257942874039675,1.953820923507687,1.9173241638485694
16.0,1.4449024354919344,1.9173241638485694,1.9518452473284786,1.953820923507687,1.9515839606695065
17.0,1.4796682551642677,1.9173241638485694,1.9880807203286244,1.953820923507687,1.9515839606695065
18.0,1.4985317886392382,1.953820923507687,1.9880807203286244,1.953820923507687,1.9880807203286244
19.0,1.5122177764859428,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
20.0,1.5759213878670262,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
21.0,1.5957155010687407,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
22.0,1.6132594331158425,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
23.0,1.6327773245980233,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
24.0,1.7386152771981205,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
25.0,1.748665528454402,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
26.0,1.8209547741709127,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
27.0,1.8810886908484237,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
28.0,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
29.0,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
30.0,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
31.0,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
32.0,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
33.0,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
34.0,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
35.0,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
36.0,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
37.0,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
38.0,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
39.0,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
40.0,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
41.0,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
42.0,1.953820923507687,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
43.0,1.953820923507687,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
44.0,1.953820923507687,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
45.0,1.953820923507687,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
46.0,1.953820923507687,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
47.0,1.953820923507687,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
48.0,1.953820923507687,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
49.0,1.953820923507687,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
50.0,1.953820923507687,1.9880807203286244,1.9880807203286244,1.9880807203286244,1.9880807203286244
