SNR,x=0.5,x=1.0,x=1.5,x=2.0,x=2.5
10.0,0.23443917589113816,0.7758481370256971,0.3484400744098133,-0.043434858410443145,-0.24955650393504514
11.0,0.31134414652750175,0.8363360181269759,0.39756391070088304,0.0581178298590983,-0.17966240848688364
12.0,0.3738127112529246,0.9005564893219862,0.46816435790779876,0.11999394727379964,-0.08698604790667064
13.0,0.4423762051948985,0.9696440221267553,0.5293548958838792,0.21128220796373487,-0.02640963008978381
14.0,0.488823455383256,1.0224507470265736,0.5810832994541022,0.2772587425360076,0.06479304719034196
15.0,0.5626274904761082,1.0946591870549964,0.6339523218662291,0.3404159022763985,0.11887059080091245
16.0,0.6210143800448589,1.1320842173917862,0.6870850168811524,0.4304103848369528,0.188096647843642
17.0,0.6652750509957968,1.1868197696883238,0.7495995007837032,0.4827608021785825,0.2486574932643173
18.0,0.7181314372006112,1.246720993552512,0.8072761658590952,0.5450377168921765,0.3095428785636384
19.0,0.7924680970467637,1.2785203232479847,0.8795789211847969,0.589871335832252,0.3294361426578203
20.0,0.8763937065267375,1.330718130111748,0.9314196503218511,0.6536512536846935,0.3748548336144387
21.0,0.9237597422298989,1.3809220912812896,1.0011815997979383,0.7100643602274679,0.4048260156287923
22.0,0.9951898110600609,1.408558801812624,1.0649634918549113,0.7631428565572479,0.43840047821965444
23.0,1.0573345240403458,1.4817065142876187,1.114291847261971,0.7960953840228717,0.49818318811431583
24.0,1.1077343110823883,1.5132755223431422,1.140244568160488,0.8226710006492858,0.5370095956775388
25.0,1.1830892041070877,1.5336508025515578,1.1903882832953596,0.864487354395431,0.5498693277160166
26.0,1.2200823471873996,1.561395765901723,1.2310556004274786,0.8923517004071599,0.5751719536409932
27.0,1.2484036679843173,1.6083534290335857,1.2543354678327772,0.9318492042083845,0.6174696915700908
28.0,1.284071706234466,1.6431389052836096,1.2918699413172354,0.9717889464126384,0.6420528371992377
29.0,1.3163105874271537,1.6683030456749817,1.3240058079515933,1.0082670845396364,0.6564023487816167
30.0,1.3514638804813321,1.6964835782112224,1.342408117360011,1.0219655577334246,0.6828590904877945
31.0,1.3689570889571518,1.7077670345387843,1.362516118088108,1.0415685037572509,0.7082807388572219
32.0,1.4116473884734644,1.726027496516609,1.3739384178922227,1.0521185139163804,0.7280447226977371
33.0,1.4244675701632084,1.744912055394835,1.3955243653449976,1.0720307449365643,0.731297300350255
34.0,1.4359274656691547,1.7575699684348582,1.4252386681987002,1.096861558241964,0.7370680508100061
35.0,1.4485849541242333,1.7883978096337516,1.4356603926646556,1.110852317731624,0.7559869919546992
36.0,1.4558923671246404,1.7999383546889685,1.452159157875946,1.1266027906070208,0.7738721818295577
37.0,1.4768858654233745,1.8055946908157505,1.4654263184780278,1.1266027906070208,0.7780809771785708
38.0,1.4768858654233745,1.8185788710369393,1.4842531997667192,1.1387234433093296,0.7843249233886631
39.0,1.4963047477001366,1.8251944555239152,1.5039345585984978,1.152976641093468,0.8029088046596657
40.0,1.5160048868541331,1.8384731497284736,1.5388123089818957,1.1729426738057167,0.8264560803728246
41.0,1.5229434350768518,1.8473462953008661,1.5607025184149075,1.1729426738057167,0.8378024376552539
42.0,1.531952182481949,1.8707083947831338,1.5738873073326063,1.1861506866940303,0.844541374649254
43.0,1.5557230872299637,1.8707083947831338,1.5823920483008052,1.20601668315045,0.8514889188566471
44.0,1.563043497574416,1.8769055834509218,1.5823920483008052,1.2147214704854892,0.8689179330454961
45.0,1.5798111642807264,1.8931396554328235,1.594636903765396,1.2147214704854892,0.8689179330454961
46.0,1.5798111642807264,1.9029508563848934,1.6015266800583747,1.2206807385338176,0.8761124420743408
47.0,1.5798111642807264,1.9095213034410468,1.6015266800583747,1.2206807385338176,0.8761124420743408
48.0,1.5883818534505643,1.9095213034410468,1.6086870501657051,1.2315715497569104,0.8814075736033165
49.0,1.5883818534505643,1.9165863209664347,1.6352597156214075,1.2376865776842108,0.8925040093302647
